original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
Mintra CAI Sneaker ,Men Unity Sneaker,0.6111111111111112,https://www.noon.com/egypt-en/cai-sneaker/ZD4E39903EAC1EAD4DF29Z/p/?o=zd4e39903eac1ead4df29z-1,599,https://www.amazon.eg/-/en/Starter-Men-Unity-Sneaker-White/dp/B0CJCCS285,833
Onda SCOOTCH double buckle  slipper for Men ,Slip On Socks With Light And Flexible Sole For Men,0.44680851063829785,https://www.noon.com/egypt-en/scootch-double-buckle-slipper-for-men/ZBEF6C99A67E9BCC84204Z/p/?o=zbef6c99a67e9bcc84204z-1,208,https://www.amazon.eg/-/en/ROMBA-SPORT-Sneaker-Flexible-Light/dp/B0D435MWX6,242
El Sayaad Baby set- 2 pieces ,Men Stylish Casual Lace-Up Leather Sneakers,0.38888888888888884,https://www.noon.com/egypt-en/baby-set-2-pieces/ZF09841EA5249A359D743Z/p/?o=zf09841ea5249a359d743z-1,214,https://www.amazon.eg/-/en/Desert-Stylish-Lace-Up-Leather-Sneakers/dp/B0CKQ8CDQ9,229
Desert Sportive Lace-Up Sneakers For Men ,Men Side Colored Lace-Up Sneakers,0.6216216216216216,https://www.noon.com/egypt-en/sportive-lace-up-sneakers-for-men/ZE370806F5DB582D37B3FZ/p/?o=ze370806f5db582d37b3fz-2,269,https://www.amazon.eg/-/en/Desert-Colored-Lace-Up-Sneakers-White/dp/B0C7H51M9Z,219
JOCKEY Baby Boys Pants & Sweatshirt Set ,Men Stylish Casual Lace-Up Leather Sneakers,0.3855421686746988,https://www.noon.com/egypt-en/baby-boys-pants-sweatshirt-set/Z917066B4ACD06C4455D6Z/p/?o=z917066b4acd06c4455d6z-2,258,https://www.amazon.eg/-/en/Desert-Stylish-Lace-Up-Leather-Sneakers/dp/B0CKQ8CDQ9,229
Blue Bird Sport shoes ,Men's Cai Slip On Shoes,0.48888888888888893,https://www.noon.com/egypt-en/sport-shoes/Z35D5D7F2CD36DE59A1C3Z/p/?o=z35d5d7f2cd36de59a1c3z-1,299,https://www.amazon.eg/-/en/Mintra-Mens-Slip-Shoes-Blue/dp/B0BYJW5Q3T,499
PUMA Transport Train Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5671641791044777,https://www.noon.com/egypt-en/transport-train-running-shoes/Z9751DCACACCD363F5AADZ/p/?o=z9751dcacaccd363f5aadz-4,"3,311",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
ANTA 0 Anta Classic X-Game Shoes ,Men's Cai Slip On Shoes,0.4285714285714286,https://www.noon.com/egypt-en/0-anta-classic-x-game-shoes/ZBE73FCFC5F8467261168Z/p/?o=zbe73fcfc5f8467261168z-6,"1,758",https://www.amazon.eg/-/en/Mintra-Mens-Slip-Shoes-Blue/dp/B0BYJW5Q3T,499
Cougar Adjustable roller skate shoes Cougar 313 Pink size 35-38 ,Casual Sneakers Shoes for men for Daily Life - D4,0.4601769911504425,https://www.noon.com/egypt-en/adjustable-roller-skate-shoes-cougar-313-pink-size-35-38/Z630AA48CA9E95D4D4C17Z/p/?o=z630aa48ca9e95d4d4c17z-1,"2,875",https://www.amazon.eg/-/en/Casual-Sneakers-Shoes-Daily-Life/dp/B0CWDDNZBS,385
Onda Porto Black double buckle sandal ,Toro Casual Sneaker for Daily Life - Testa Toro,0.3764705882352941,https://www.noon.com/egypt-en/porto-black-double-buckle-sandal/Z7FF215D4DFF2C9699967Z/p/?o=z7ff215d4dff2c9699967z-3,160,https://www.amazon.eg/-/en/Testa-Toro-Casual-Sneaker-Daily/dp/B0CSVBHB1F,299
Mr.joe Women Chunky Semi Formal Lace Up Leather Shoes Black ,Men Stylish Casual Lace-Up Leather Sneakers,0.5631067961165048,https://www.noon.com/egypt-en/women-chunky-semi-formal-lace-up-leather-shoes-black/Z4FF3ED837E6D40FA5946Z/p/?o=z4ff3ed837e6d40fa5946z-2,"1,199",https://www.amazon.eg/-/en/Desert-Stylish-Lace-Up-Leather-Sneakers/dp/B0CKQ8CDQ9,229
SportQ Can Convert Tri To Single Row Indoor/Outdoor Starter Indoor Skate Shoe  (Medium 35-38 Us) ,Testa Toro Medical Foam Core Shoe - Leather & Microfiber Fabric - Heel Support Foam - Testa Toro,0.37305699481865284,https://www.noon.com/egypt-en/can-convert-tri-to-single-row-indoor-outdoor-starter-indoor-skate-shoe-medium-35-38-us/N52752530A/p/?o=bef38910ef8ddfba,700,https://www.amazon.eg/-/en/Testa-Toro-Medical-Foam-Core/dp/B0CFKH9C9N,225
Adidas Response Running Shoes ,Men Curre-2 11450 Running Shoe -,0.5483870967741935,https://www.noon.com/egypt-en/response-running-shoes/Z1EFC4A80EA3A24C7709FZ/p/?o=z1efc4a80ea3a24c7709fz-3,"3,508",https://www.amazon.eg/-/en/Diadora-Men-Curre-11450-Running/dp/B0BZ59NY7M,"1,245"
Adidas Heawyn Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5333333333333333,https://www.noon.com/egypt-en/heawyn-running-shoes/Z4FF24CA9B7C9CF8678A8Z/p/?o=z4ff24ca9b7c9cf8678a8z-1,"4,784",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
