original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
Luna Eau De Cologne Twist Berries 250 ml ,Eau de cologne twist berries 250 ml,0.8157894736842105,https://www.noon.com/egypt-en/eau-de-cologne-twist-berries-250-ml/ZBF09D7ED3059A86756A4Z/p/?o=zbf09d7ed3059a86756a4z-1,76.85,https://www.amazon.eg/-/en/Eau-cologne-twist-berries-250/dp/B0BBDF2GCH,74
Luna Emollient Soft Cream Glycerin & Jojoba Oil 160 gm ,Emollient Soft Cream Glycerin & Jojoba Oil 20 gm,0.912621359223301,https://www.noon.com/egypt-en/emollient-soft-cream-glycerin-jojoba-oil-160-gm/ZFDA5D2F2014FD79E5720Z/p/?o=zfda5d2f2014fd79e5720z-1,61,https://www.amazon.eg/-/en/Luna-Emollient-Cream-Glycerin-Jojoba/dp/B0C5W4WW1V,14
Luna Emollient Lip Therapy White ,"emollient lip therapy ,10 ml",0.6557377049180328,https://www.noon.com/egypt-en/emollient-lip-therapy-white/N44173048A/p/?o=c0e85737e3d7138a,75,https://www.amazon.eg/-/en/Luna-emollient-lip-therapy-10/dp/B08X6FJXZF,37
Luna Emollient Bundle Promo Bag 4Pcs ,Emollient Saving Bundle,0.5333333333333333,https://www.noon.com/egypt-en/emollient-bundle-promo-bag-4pcs/ZD4FE96DD0D6BC9FAA684Z/p/?o=zd4fe96dd0d6bc9faa684z-1,140,https://www.amazon.eg/-/en/Luna-Emollient-Saving-Bundle/dp/B08WJLGF6X,144
Luna Sun Block Cream SPF50 130ml ,Liquid soap rose & milk 500 ml,0.4444444444444444,https://www.noon.com/egypt-en/sun-block-cream-spf50-130ml/N20450107A/p/?o=be6a4b884b38a37b,210,https://www.amazon.eg/-/en/Luna-Liquid-soap-rose-milk/dp/B0BVMTPBF7,44
Luna Light Enhancer Makeup Base Beige ,Hand foaming anti-bacterial twist berries 320 ml,0.41860465116279066,https://www.noon.com/egypt-en/light-enhancer-makeup-base-beige/N36544916A/p/?o=c2e75bf0e78fda2e,189,https://www.amazon.eg/-/en/Luna-foaming-anti-bacterial-twist-berries/dp/B0BVMSSLHX,61
Luna Nail Spa Luna - Matt Top Coat 10Ml White ,Professional nail spa luna -stop bite.10 ml,0.5168539325842696,https://www.noon.com/egypt-en/nail-spa-luna-matt-top-coat-10ml-white/N41934491A/p/?o=cdcb7c8ba7059bcc,75.15,https://www.amazon.eg/-/en/Professional-nail-luna-stop-bite-10/dp/B08WJPTXGV,79
Luna Extra Lashes Mascara With Argan Oil Black ,"Maxixil Volume Mascara, 1 Black",0.4871794871794872,https://www.noon.com/egypt-en/extra-lashes-mascara-with-argan-oil-black/ZAE81BA0F5303D425E218Z/p/?o=zae81ba0f5303d425e218z-1,228,https://www.amazon.eg/-/en/Luna-Maxixil-Mascara-1-Black/dp/B0D5YWQBKL,171
"Luna Emollient , Lip Moist & Emollient Soft Cream Bundle Promo bag ","Emollient, Lip Moist & Emollient Soft Cream Bundle bag",0.8925619834710744,https://www.noon.com/egypt-en/emollient-lip-moist-emollient-soft-cream-bundle-promo-bag/Z39A11EAA5BE97346855DZ/p/?o=z39a11eaa5be97346855dz-1,130,https://www.amazon.eg/-/en/Emollient-Moist-Soft-Cream-Bundle/dp/B0CL79JB2Q,139
Luna Emollient Soft Cream with Vitamin E And Collagen 50gm ,Emollient soft cream vit e & collagen 50 gm,0.7058823529411764,https://www.noon.com/egypt-en/emollient-soft-cream-with-vitamin-e-and-collagen-50gm/Z99AB27280EAD48B4C9DDZ/p/?o=z99ab27280ead48b4c9ddz-1,33,https://www.amazon.eg/-/en/Luna-Emollient-soft-cream-collagen/dp/B0C5W67L2S,33
Luna Emollient Shea Butter ,Emollient Saving Bundle,0.64,https://www.noon.com/egypt-en/emollient-shea-butter/Z59862F99536F3DB344ECZ/p/?o=z59862f99536f3db344ecz-1,55,https://www.amazon.eg/-/en/Luna-Emollient-Saving-Bundle/dp/B08WJLGF6X,144
Luna Wet And Dry Luna 11 Gm Black Packing No 52 ,Nail lacquer luna 10 ml - no. 614,0.41975308641975306,https://www.noon.com/egypt-en/wet-and-dry-luna-11-gm-black-packing-no-52/N36544858A/p/?o=f9703a54880d936a,195,https://www.amazon.eg/-/en/Nail-lacquer-luna-10-no/dp/B08WJPPZ9C,42
Luna Contouring Set Multicolor ,Hand foaming anti-bacterial cotton flowers 320 ml,0.4,https://www.noon.com/egypt-en/contouring-set-multicolor/N41934547A/p/?o=cf397877d6f4a26b,104,https://www.amazon.eg/-/en/Hand-foaming-anti-bacterial-cotton-flowers/dp/B0BVMPN992,61
Luna Emollient Hand & Body Cream With Cocoa Butter 75grams ,Emollient hand & body cream with cocoa butter 75gm,0.8073394495412844,https://www.noon.com/egypt-en/emollient-hand-body-cream-with-cocoa-butter-75grams/N20680676A/p/?o=f36b5f9529d50beb,47,https://www.amazon.eg/-/en/Luna-Emollient-cream-cocoa-butter/dp/B083X1PHYV,47
